Name of institution,Type of institution,Level,Country,State/Province,City,Website,Area of study,Programme,
Columbia Academi,Career College,,Canada,Vancouver,British Columbia,http://www.canadian-universities.net/Career-Colleges/Columbia_Academy.html,Diploma,"Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media","Broadcast Performing Arts ,Introductory Programs ,Recording & Sound Design ,Video & Film Production "
Canadian Tourism College,Career College,,Canada,Vancouver,British Columbia,http://www.tourismcollege.com,Diploma,"Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality","Adventure Tourism Business,Adventure Tourism,Adventure Tourism,Adventure Tourism,Hospitality and Resort Business Management,Hospitality and Resort Management,Hospitality and Tourism Management,Cruise Business,Cruise,Hospitality Management,International Hospitality and Resort Business Management,International Travel and Tourism Business Management,Resort and Hotel Spa Management,Tourism,Travel and Tourism Business Management,Adventure Tourism Business,Adventure Tourism,Adventure Tourism,Adventure Tourism,Hospitality and Resort Business Management,Hospitality and Resort Management,Hospitality and Tourism Management,Cruise Business,Cruise,Hospitality Management,International Hospitality and Resort Business Management,International Travel and Tourism Business Management,Resort and Hotel Spa Management,Tourism,Travel and Tourism Business Management"
Cambridge Institute of Science and Technology,Career College,,Canada,Vancouver,British Columbia,http://canadian-universities.net/Career-Colleges/Cambridge_Institute_of_Science_and_Technology.html,Diploma,"Business and Management,Engineering,Business and Management,Business and Management,Computer Science and IT,Computer Science and IT,Computer Science and IT,Creative Arts and Design,Business and Management,Social Studies and Media,Travel and Hospitality,Creative Arts and Design,Business and Management,Computer Science and IT,Business and Management,Creative Arts and Design,Health and Medicine,Agricultural and Veterinary Medicine,Computer Science and IT,Business and Management,Computer Science and IT,Law,Business and Management,Social Studies and Media,Personal Care and Fitness,Business and Management,Social Studies and Media,Business and Management,Business and Management,Social Studies and Media,Social Studies and Media,Business and Management,Travel and Hospitality,Creative Arts and Design","Accounting, Bookkeeping and Payroll ,Audio Engineering and Recording ,Banking, Insurance and Financial Services ,Business Administration and Management ,Computer and Software Programming ,Computer Networking and Internet Security ,Database Development and Management ,Drawing and Illustration ,E-Commerce and E-Business ,ESL and TOEFL ,Food, Beverage and Bartending ,General Art ,General Business ,General Computing ,General Office ,Graphic and Multimedia Design ,Health Care ,Horticulture and Landscape ,Information Technology ,International Business and Trade ,Internet and Web Design ,Law Office and Paralegal Studies ,Management, Leadership and Training ,Music ,Nail Technician ,Office Management and Administration ,Personal Support Worker ,Sales and Marketing ,Small Business Management and Entrepreneurship ,Television, Film and Video Production ,Theatre and Acting ,Trades and Apprenticeship Training ,Travel, Tourism and Hospitality ,Visual Art and Design "
Cornerstone Education,Career College,,Canada,Vancouver,British Columbia,http://www.canadian-universities.net/Career-Colleges/Cornerstone_Education.html,Diploma,"Business and Management,Business and Management,Computer Science and IT,Business and Management,Business and Management,Business and Management,Business and Management,Creative Arts and Design,Business and Management,Business and Management,Computer Science and IT,Business and Management,Business and Management,Business and Management,Business and Management,Creative Arts and Design","Basic Counselling,Industry Standard,Computer Training,Labour Market Information,Management,Simply Accounting Administration,Simply Accounting Countinued Data Entry and Report Generation,Animation and Game Design ,Basic Counselling,Industry Standard,Computer Training,Labour Market Information,Management,Simply Accounting Administration,Simply Accounting Countinued Data Entry and Report Generation,Animation and Game Design "
Erickson College,Career College,,Canada,Vancouver,British Columbia,http://www.canadian-universities.net/Career-Colleges/Erickson_College.html,Diploma,"Business and Management,Business and Management,Business and Management,Computer Science and IT,Business and Management","Business Leadership & Corporate ,Expert Performance Training & Neuro-linguistic Programming ,Human Development Programs ,Information Evenings ,Trainers' Training "
Eton College,Career College,,Canada,Vancouver,British Columbia,http://www.etoncollege.ca,Bachelor's Degree ,"Business and Management,Business and Management,Business and Management,Business and Management,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality","Business Administration - Hospitality Management,Business Administration - Travel and Tourism Management,Business Administration,Financial Investment,Food and Beverage Service,Hospitality and Tourism Management ,Hospitality Facilities Management and Design,Hospitality Industry Financial Accounting,Hospitality Management,Hospitality Sales and Marketing,International Hotel Management,International Human Resource Management in the Hospitality Industry ,Managing Hospitality Human Resources,Managing Technology in the Hospitality Industry,Security and Loss Prevention Management,Supervision in the Hospitality Industry,Travel and Tourism,Travel and Tourism Management,Travel, Tourism, and Flight Attendant Preparation"
Gateway College,Career College,,Canada,Vancouver,British Columbia,http://www.canadian-universities.net/Career-Colleges/Gateway_College.html,Diploma,"Travel and Hospitality,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine","Advanced Hospitality Management,Emergency First Aid,Hospitality,Hospitality Management,Hospitality Operations,Medical Terminology,Nursing Assistant"
Granville Business College,Career College,,Canada,Vancouver,British Columbia,http://www.canadian-universities.net/Career-Colleges/Granville_Business_College.html,Diploma,Agricultural and Veterinary Medicine,Veterinary Assistant
Greystone College,Career College,,Canada,Vancouver,British Columbia,http://www.greystonecollege.com,Diploma,"Business and Management,Business and Management,Travel and Hospitality,Business and Management,Social Studies and Media,Travel and Hospitality","Business Administration,Convention Management,Hospitality Management,International Business Management,TESOL ,Tourism and Hospitality Management"
London School of Hairdressing and Aesthetics,Career College,,Canada,Vancouver,British Columbia,http://londonschool.ca,Diploma,"Personal Care and Fitness,Personal Care and Fitness,Personal Care and Fitness","Aesthetics ,Hairdressing ,Nail Technology "
